id,query
e625dbc8-f448-4c53-9a78-6c3f351b49c3,"วิเคราะห์ข้อมูลและทวีตเพื่อสรุปว่าราคาปิดของ $gs จะปรับตัวขึ้นหรือลงในวันที่ 2017-12-20 โปรดยืนยันว่าขึ้นหรือลง

บริบท: วันที่, เปิด, สูง, ต่ำ, ปิด, ปิดปรับ, เพิ่ม 5%, เพิ่ม 10%, เพิ่ม 15%, เพิ่ม 20%, เพิ่ม 25%, เพิ่ม 30  
2017-12-06, 0.1, 0.9, -0.3, -1.0, -1.0, 1.0, -1.3, -2.0, -2.2, -2.0, -2.0  
2017-12-07, -1.6, 0.4, -1.7, 1.1, 1.1, -0.0, -1.8, -2.7, -3.1, -3.0, -2.9  
2017-12-08, 0.1, 0.1, -1.3, 0.7, 0.7, -0.6, -1.9, -3.1, -3.6, -3.6, -3.5  
2017-12-11, -0.1, 0.5, -0.5, -0.1, -0.1, -0.6, -1.2, -2.7, -3.3, -3.4, -3.3  
2017-12-12, -2.7, 0.2, -2.7, 3.0, 3.0, -2.8, -3.4, -5.0, -5.7, -6.0, -5.9  
2017-12-13, 0.9, 1.9, 0.0, -0.8, -0.8, -1.2, -2.0, -3.8, -4.6, -5.0, -4.9  
2017-12-14, 0.6, 1.6, 0.0, -0.0, -0.0, -0.6, -1.7, -3.2, -4.2, -4.7, -4.8  
2017-12-15, -0.2, 0.7, -0.9, 0.7, 0.7, -0.8, -2.0, -3.3, -4.5, -5.1, -5.2  
2017-12-18, -0.0, 0.8, -0.3, 1.1, 1.1, -1.1, -2.7, -3.7, -5.1, -5.8, -6.1  
2017-12-19, 2.0, 2.1, -0.1, -1.4, -1.4, 0.2, -1.1, -1.9, -3.4, -4.2, -4.6  

2017-12-06: rt AT_USER notice how i only placed 1 trade this week after last week's monster gains in $gs and $spx - when you make profits, it's al¡­|rt AT_USER $gs ceo AT_USER and presidents and co-coos david sol  
2017-12-07: goldman to clear bitcoin futures - bloomberg $gs |goldman sachs group $gs price target increased to $300.00 by analysts at bank of america |goldman sachs group $gs price target increased to $300.00 by  
2017-12-08: beat the market with the ideal intensity indicator, the only indicator you need $vrx $fit $aktx $gs¡­ |we calculated 21-day expected return of $gs for you: 3.77% |rt AT_USER what would goldman sachs b  
2017-12-09: AT_USER $gs puts everything of value it owns into special purpose vehicles.  they get to enjoy it but $rew the creditors.|rt AT_"
9bea42e5-3c21-46dc-93f7-0017f382f7cf,"ประเมินข้อมูลและทวีตเพื่อประเมินว่าราคาปิดของ $gs จะปรับตัวสูงขึ้นหรือต่ำลงในวันที่ 2018-01-18 ตอบด้วย Rise หรือ Fall

บริบท: วันที่, เปิด, สูง, ต่ำ, ปิด, ปิดปรับ, เพิ่ม 5%, เพิ่ม 10%, เพิ่ม 15%, เพิ่ม 20%, เพิ่ม 25%, เพิ่ม 30  
2018-01-03, 0.9, 1.1, -0.0, -0.9, -0.9, 0.8, 1.3, 1.4, 0.6, -0.2, -1.3  
2018-01-04, -0.6, 1.1, -1.0, 1.4, 1.4, -0.6, -0.1, -0.0, -0.6, -1.3, -2.4  
2018-01-05, 0.6, 0.8, -0.7, -0.5, -0.5, -0.1, 0.4, 0.5, 0.0, -0.5, -1.6  
2018-01-08, 1.2, 1.3, -0.1, -1.5, -1.5, 1.1, 1.5, 1.8, 1.6, 1.0, 0.0  
2018-01-09, -0.4, 0.7, -0.5, 0.8, 0.8, 0.1, 0.5, 0.9, 0.8, 0.2, -0.6  
2018-01-10, 0.3, 0.3, -0.8, 0.2, 0.2, 0.1, 0.2, 0.6, 0.7, 0.1, -0.5  
2018-01-11, 0.2, 0.3, -0.8, 0.3, 0.3, -0.4, -0.1, 0.3, 0.4, -0.1, -0.6  
2018-01-12, -0.5, 0.1, -1.1, 0.7, 0.7, -1.0, -0.9, -0.4, -0.3, -0.6, -1.1  
2018-01-16, 0.3, 1.3, -0.8, 0.6, 0.6, -1.0, -1.3, -1.1, -0.8, -1.0, -1.5  
2018-01-17, 2.9, 3.3, -1.9, -1.9, -1.9, 0.8, 0.5, 0.7, 1.0, 0.9, 0.4  

2018-01-03: rt AT_USER ""disrupt yourself every 5 or 10 yrs"" - $gs, AT_USER & AT_USER on building brands: #gsinnov ¡|rt AT_USER $gs keep odds of a march hike at 75% after fomc minutes |rt AT_USER goldman sach  
2018-01-04: rt AT_USER podcast: $gs research on the 'pay-as-you-go' car and the future of mobility: |rt AT_USER podcast: $gs' john waldron chats with #gsinnovators from AT_USER & AT_USER about building bran  
2018-01-05: rt AT_USER podcast: $gs research on self-driving cars, electric vehicles and what it all means for the cities of the future: |traders buy goldman sachs group $gs on weakness |us ""tax reform"" proxies f  
2018-01-08: rt AT_USER podcast: what are the top issues facing us banks heading into 2018? $gs research¡¯s richard ramsden"
a803daca-2cab-4d53-be68-c75fb71da84a,"พิจารณาจากข้อมูลและทวีตที่ให้มา เพื่อคาดการณ์ว่าราคาปิดของ $pfe ในวันที่ 2017-11-06 จะ Rise หรือ Fall โปรดตอบด้วยคำว่า Rise หรือ Fall

บริบท: วันที่, เปิด, สูง, ต่ำ, ปิด, ปิดปรับ, เพิ่ม-5%, เพิ่ม-10%, เพิ่ม-15%, เพิ่ม-20%, เพิ่ม-25%, เพิ่ม-30  
2017-10-23, -0.3, 1.0, -0.3, -0.1, -0.1, -0.5, -0.4, -0.6, -1.0, -1.1, -1.4  
2017-10-24, 0.5, 0.7, -0.8, -0.4, -0.4, -0.1, -0.1, -0.2, -0.5, -0.7, -0.9  
2017-10-25, 0.1, 0.5, -0.7, -0.3, -0.3, 0.4, 0.2, 0.2, -0.1, -0.3, -0.5  
2017-10-26, 1.0, 1.3, -0.4, -1.2, -1.2, 1.3, 1.2, 1.3, 1.1, 0.8, 0.6  
2017-10-27, -0.2, 0.4, -0.6, -0.4, -0.4, 1.2, 1.4, 1.6, 1.5, 1.2, 1.1  
2017-10-30, 0.8, 0.9, -0.4, -1.3, -1.3, 1.8, 2.4, 2.7, 2.7, 2.4, 2.3  
2017-10-31, -0.0, 0.8, -2.7, -0.3, -0.3, 1.4, 2.4, 2.7, 2.8, 2.6, 2.5  
2017-11-01, -0.7, 1.3, -1.0, 0.6, 0.6, 0.3, 1.6, 1.9, 2.1, 2.0, 1.9  
2017-11-02, -0.5, 0.1, -1.2, 0.6, 0.6, -0.4, 0.8, 1.2, 1.5, 1.5, 1.3  
2017-11-03, -0.3, 0.0, -0.6, 0.3, 0.3, -0.7, 0.3, 0.8, 1.1, 1.2, 1.0  

2017-10-23: rt AT_USER liking this #alzheimers therapeutics landscape representation. $biib $lly $jnj $pfe $pmn.to #prions #biotech source: mac  
2017-10-24: the chartmill setup rating of $pfe is on an all-time high  #live #quotes |rt AT_USER price moves vs expected moves $vrx $gild $pfe $mrk $jnj $celg $teva $mnkd $agn $abbv $biib $mdxg |price moves vs ex  
2017-10-25: price moves vs expected moves $esrx $bmy $gild $pfe $vrx $celg $thc $mrk $srpt $agn $amgn $teva  
2017-10-26: must read!¨uget ready for precision and invasive pharmaceutical ads $pfe  09/26/2017|#pfizer readying to sell consumer healthcare business  $pfe|get ready for precision and"
f101430b-bbe2-4803-a5ab-691e6295b1f9,"วิเคราะห์ข้อมูลและทวีตเพื่อสรุปว่าราคาปิดของ $fcx จะปรับตัวขึ้นหรือลงในวันที่ 2017-11-09 โปรดยืนยันว่า ""ขึ้น"" หรือ ""ลง"" เท่านั้น

บริบท: วันที่, เปิด, สูง, ต่ำ, ปิด, ปิดปรับ, เพิ่ม 5%, เพิ่ม 10%, เพิ่ม 15%, เพิ่ม 20%, เพิ่ม 25%, เพิ่ม 30  
2017-10-26,1.0,1.4,-0.6,-0.1,-0.1,1.1,1.3,0.2,-0.2,-1.0,-1.5  
2017-10-27,0.7,1.3,-1.6,-3.8,-3.8,4.1,4.9,4.1,3.8,2.9,2.5  
2017-10-30,0.9,2.3,0.0,-1.3,-1.3,4.3,5.4,5.3,5.0,4.3,3.8  
2017-10-31,-0.3,0.4,-1.0,0.3,0.3,2.2,4.4,4.8,4.5,4.0,3.4  
2017-11-01,0.1,2.2,-0.8,2.9,2.9,-1.1,1.2,1.9,1.5,1.3,0.6  
2017-11-02,0.3,2.4,-0.6,-1.0,-1.0,-0.7,1.8,2.8,2.4,2.3,1.7  
2017-11-03,0.4,0.8,-0.8,-0.6,-0.6,-0.1,1.9,3.1,2.9,2.9,2.3  
2017-11-06,-2.1,0.1,-2.7,3.5,3.5,-2.5,-1.6,-0.6,-0.4,-0.5,-1.0  
2017-11-07,-0.4,0.1,-1.3,-0.6,-0.6,-1.1,-1.5,-0.2,0.3,0.1,-0.2  
2017-11-08,-1.6,0.5,-2.6,2.1,2.1,-2.5,-3.4,-2.2,-1.7,-1.9,-2.1  

2017-10-26: $copper -1เซนต์ to $3.18, $scco settled -1.0% at $43.22. e' nov'7th. s/t bearish 41/40. m/t bullish &gt;50. less s¡­ |big call buyers  $jack $wba $gg $edu $stm $wynn $ibm $dis $mo $expe $lly $penn  
2017-10-27: despite $copper -2.3%, $teck has found (natural) support around $20.00/gap zone, settling +0.1% at $20.86. m/t &gt;27.¡­ |fy2019 eps estimates for freeport-mcmoran inc $fcx lowered by jefferies group  
2017-10-28: AT_USER AT_USER $fcx $hbm lazer long|afternoon most tweeted big caps, check out gambiste top 10: $hst $twtr $ms $snap $tsla $nov $sq $celg $amd $fcx |AT_USER i think the follow up tweet lost. $fcx wen  
2017-10-29: southern copper - $scco broke a new hist' high of $44.69 this month. next soft target is $50.00.  e' nov'7th. valid¡­ |$copper dec #copperfutures open gingerly at 3.1015 $scco $fc"
f259d90e-7120-4459-a814-a456011fc840,"วิเคราะห์ข้อมูลและโพสต์ในโซเชียลมีเดียเพื่อพิจารณาว่าราคาปิดของ $chk จะขึ้นหรือลงในวันที่ 2017-11-17 โปรดตอบด้วยคำว่า Rise หรือ Fall

บริบท: วันที่, เปิด, สูงสุด, ต่ำสุด, ปิด, ปิดปรับ, เพิ่มขึ้น 5%, เพิ่มขึ้น 10%, เพิ่มขึ้น 15%, เพิ่มขึ้น 20%, เพิ่มขึ้น 25%, เพิ่มขึ้น 30

2017-11-03, -2.4, 1.3, -3.2, 2.2, 2.2, 2.1, -0.5, 0.2, 1.6, 4.2, 6.3  
2017-11-06, -9.6, 0.0, -9.6, 11.8, 11.8, -7.0, -9.6, -9.8, -9.1, -6.9, -5.1  
2017-11-07, -0.7, 1.0, -2.4, 0.0, 0.0, -5.6, -8.3, -9.1, -8.8, -7.1, -5.2  
2017-11-08, 4.8, 5.0, 0.0, -5.0, -5.0, -0.6, -2.4, -4.0, -3.9, -2.4, -0.6  
2017-11-09, -2.7, 2.2, -3.4, 3.5, 3.5, -1.8, -4.4, -6.8, -6.9, -5.9, -4.2  
2017-11-10, -0.2, 1.2, -2.4, 0.7, 0.7, -0.6, -4.2, -6.9, -7.2, -6.7, -5.0  
2017-11-13, -1.0, 2.9, -1.9, 0.2, 0.2, -1.0, -3.6, -6.3, -7.1, -6.9, -5.4  
2017-11-14, 4.6, 5.6, 0.0, -5.1, -5.1, 3.1, 1.6, -0.8, -1.9, -2.0, -0.6  
2017-11-15, 1.8, 3.4, 0.0, -2.3, -2.3, 4.9, 3.7, 2.0, 0.5, 0.2, 1.3  
2017-11-16, 0.5, 2.3, -0.5, 0.0, 0.0, 3.5, 4.2, 2.6, 0.5, 0.2, 0.9  

2017-11-03: evening most tweeted mid caps, check out gambiste top 10: $pzza $srpt $stmp $vrx $hlf $chk $axl $oled $grpn $bb |AT_USER $chk - got stopped out on bad ann ( a good thing? ) was in it for co. will watc  
2017-11-04: chesapeake energy: light at the end of the tunnel?  $chk #investing #energy #turnaround|rt AT_USER evening most tweeted mid caps, check out gambiste top 10: $pzza $srpt $stmp $vrx $hlf $chk $axl $oled  
2017-11-05: chesapeake energy $chk is holding within the m/t bearish trend dec'2016 (bulls need &gt;4.10). far superior alt: $lng |$chk $3.74 (+2.19%) being heavily traded.  our #sentiment analysis tool gives you"
9adea360-0371-4a0a-9d16-fbd6117a95d8,"วิเคราะห์ข้อมูลและทวีตเพื่อสรุปว่าราคาปิดของ $dis จะปรับตัวขึ้นหรือลงในวันที่ 2017-12-15 โปรดยืนยันว่า ""ขึ้น"" หรือ ""ลง"" เท่านั้น

บริบท: วันที่, เปิด, สูง, ต่ำ, ปิด, ปิดปรับ, เพิ่ม 5%, เพิ่ม 10%, เพิ่ม 15%, เพิ่ม 20%, เพิ่ม 25%, เพิ่ม 30  
2017-12-01, -0.6, 0.6, -1.3, 0.4, 0.4, -0.9, -1.6, -1.4, -2.1, -3.0, -3.6  
2017-12-04, -3.4, 2.2, -3.4, 4.7, 4.7, -4.0, -5.4, -5.6, -6.0, -6.9, -7.6  
2017-12-05, 2.2, 2.6, -0.7, -2.7, -2.7, -0.6, -2.3, -2.8, -3.1, -4.0, -4.7  
2017-12-06, 1.6, 2.4, -0.1, -1.6, -1.6, 1.1, -0.5, -1.0, -1.3, -2.1, -2.9  
2017-12-07, 0.5, 0.7, -0.7, -0.2, -0.2, 1.4, -0.0, -0.7, -0.9, -1.7, -2.5  
2017-12-08, 0.7, 0.7, -0.1, -1.0, -0.2, 1.5, 0.4, -0.4, -0.6, -1.2, -2.1  
2017-12-11, -1.8, 0.0, -1.9, 2.5, 2.5, -1.4, -1.6, -2.6, -2.9, -3.3, -4.2  
2017-12-12, -0.3, 0.4, -0.8, 0.6, 0.6, -1.8, -1.7, -2.8, -3.2, -3.6, -4.4  
2017-12-13, 0.5, 0.5, -0.8, 0.2, 0.2, -1.4, -1.6, -2.6, -3.2, -3.5, -4.3  
2017-12-14, -3.0, 0.9, -3.0, 2.8, 2.8, -2.9, -3.6, -4.7, -5.4, -5.7, -6.4  

2017-12-01: rt AT_USER disrupted: the internet broke the media &amp; there's no going back (video)  $dis $fb $goog $googl $a¡­|rt AT_USER disrupted: the internet broke the media &amp; there's no going back (video  
2017-12-02: rt AT_USER disrupted: the internet broke the media &amp; there's no going back (video)  $dis $fb $goog $googl $a¡­|rt AT_USER $dis $fox why disney should spend $25 billion to buy a big chunk of fox  v  
2017-12-03: AT_USER the only abc trade tomorrow is  possibly short $dis :)|rt AT_USER we nailed this one at the #dealeconomy conference where i said they had to come back and do this acquisition... $foxa, $dis¡­|  
2017-12-04: report: disney in pole position for major fox asset purchase; stocks rise  $fox $foxa $dis $sky"
ed45ca23-3f20-4662-9dde-afcc3f20b0be,"จากการตรวจสอบข้อมูลและทวีตต่างๆ เราสามารถคาดการณ์ได้หรือไม่ว่าราคาปิดของ $fcx ในวันที่ 2017-11-07 จะขึ้นหรือลง โปรดระบุว่าขึ้นหรือลง  
บริบท: วันที่, เปิด, สูง, ต่ำ, ปิด, ปิดปรับ, เพิ่ม 5, เพิ่ม 10, เพิ่ม 15, เพิ่ม 20, เพิ่ม 25, เพิ่ม 30  
2017-10-24, -1.5, 0.0, -2.2, 2.8, 2.8, -2.2, -2.6, -3.4, -4.1, -4.9, -5.3  
2017-10-25, 3.8, 6.0, -1.8, -3.5, -3.5, 1.2, 1.1, 0.2, -0.4, -1.3, -1.7  
2017-10-26, 1.0, 1.4, -0.6, -0.1, -0.1, 1.1, 1.3, 0.2, -0.2, -1.0, -1.5  
2017-10-27, 0.7, 1.3, -1.6, -3.8, -3.8, 4.1, 4.9, 4.1, 3.8, 2.9, 2.5  
2017-10-30, 0.9, 2.3, 0.0, -1.3, -1.3, 4.3, 5.4, 5.3, 5.0, 4.3, 3.8  
2017-10-31, -0.3, 0.4, -1.0, 0.3, 0.3, 2.2, 4.4, 4.8, 4.5, 4.0, 3.4  
2017-11-01, 0.1, 2.2, -0.8, 2.9, 2.9, -1.1, 1.2, 1.9, 1.5, 1.3, 0.6  
2017-11-02, 0.3, 2.4, -0.6, -1.0, -1.0, -0.7, 1.8, 2.8, 2.4, 2.3, 1.7  
2017-11-03, 0.4, 0.8, -0.8, -0.6, -0.6, -0.1, 1.9, 3.1, 2.9, 2.9, 2.3  
2017-11-06, -2.1, 0.1, -2.7, 3.5, 3.5, -2.5, -1.6, -0.6, -0.4, -0.5, -1.0  

2017-10-24: rt AT_USER with $copper +1cent to $3.20, $fcx gained 2.8% to $15.23, a rather bullish close above resistance. m/t &gt;17 to 24/25s. alt¡­|with $copper at $3.20, the best of the copper miners: $scco br  
2017-10-25: rt AT_USER $amd $bac $t $ge $aapl $intc $mu $fb $tsla $nvda $baba $gm $msft $cmg $twtr $fcx $f $nke -10/25 most active options htt¡­|evening most tweeted big caps, check out gambiste top 10: $twtr $am  
2017-10-26: with $copper -1cent to $3.18, $scco settled -1.0% at $43.22. e' nov'7th. s/t bearish 41/40. m/"
d9825631-a11e-463b-988f-4e070213f92b,"วิเคราะห์ข้อมูลและทวีตต่างๆ เพื่อพิจารณาว่าราคาปิดของ $xom จะปรับตัวขึ้นหรือลงในวันที่ 16 มกราคม 2018 โปรดยืนยันว่าขึ้นหรือลง บริบท: วันที่, เปิด, สูงสุด, ต่ำสุด, ปิด, ปิดปรับ, เพิ่ม 5%, เพิ่ม 10%, เพิ่ม 15%, เพิ่ม 20%, เพิ่ม 25%, เพิ่ม 30  
2017-12-29, 0.4, 0.7, 0.0, -0.5, -0.5, 0.3, -0.2, -0.4, -0.5, -0.8, -1.3  
2018-01-02, -1.4, 0.2, -1.6, 1.7, 1.7, -1.1, -1.6, -1.9, -2.1, -2.3, -2.7  
2018-01-03, -1.8, 0.3, -2.2, 2.0, 2.0, -2.4, -3.1, -3.5, -3.8, -3.9, -4.3  
2018-01-04, -0.0, 0.5, -0.4, 0.1, 0.1, -1.8, -2.7, -3.3, -3.7, -3.8, -4.2  
2018-01-05, 0.0, 0.1, -1.2, -0.1, -0.1, -1.1, -2.2, -3.0, -3.3, -3.5, -3.9  
2018-01-08, -0.5, 0.0, -0.6, 0.4, 0.4, -0.7, -2.2, -3.1, -3.5, -3.8, -4.1  
2018-01-09, 0.2, 0.4, -0.1, -0.4, -0.4, 0.1, -1.5, -2.4, -2.9, -3.2, -3.5  
2018-01-10, 1.1, 1.3, -0.1, -0.8, -0.8, 0.7, -0.5, -1.3, -1.9, -2.3, -2.6  
2018-01-11, -0.7, 0.5, -1.2, 1.0, 1.0, -0.2, -1.1, -2.0, -2.6, -3.1, -3.3  
2018-01-12, -0.4, 0.5, -0.4, 0.7, 0.7, -0.7, -1.4, -2.3, -3.0, -3.5, -3.8  

2017-12-29: พลังงาน | 5 ตัวที่เคลื่อนไหวมากที่สุด = $xom, $ge, $cvx, $ptr, $bbl | อันดับท็อป 5 ในภาคส่วน | ดู $xom และ $bp ในปีหน้า | คาร์เทอร์กำลังโต้แย้งในระดับมหภาค ระหว่างการซื้อ $xom และขาย $baba | คะแนนสูงสุด  
2017-12-30: แชร์หุ้น ExxonMobil ($xom) ขายโดย Gareth Morgan Investments Limited Partnership | อ่านก่อนซื้อหุ้นเซลล์เชื้อเพลิง AT_USER #stocks, $wmt, $fslr, $hmc, $amzn, $tm, $xom, $morn, $fcel | แฮนโซ  
2018-01-02: RT AT_USER ผู้ซื้อ big call จำนวนมาก = $ccs, $cvx, $symc, $qcom, $abx, $emr, $bidu, $xpo, $csco, $baba, $xom, $fe, $pypl, $wtw | ผู้ซื้อ"
29efb2ab-4920-4cb8-bae7-6a12f0c0b6b0,"วิเคราะห์ข้อมูลและทวีตเพื่อสรุปว่าราคาปิดของ $c จะปรับตัวขึ้นหรือลงในวันที่ 2017-11-14 โปรดยืนยันว่าขึ้นหรือลง

บริบท: วันที่, เปิด, สูง, ต่ำ, ปิด, ปิดปรับ, เพิ่ม 5%, เพิ่ม 10%, เพิ่ม 15%, เพิ่ม 20%, เพิ่ม 25%, เพิ่ม 30  
2017-10-31, 0.5, 0.8, -0.3, -0.4, -0.4, 0.3, 0.1, -0.3, 0.4, 0.2, -0.4  
2017-11-01, -0.1, 0.7, -0.3, 0.7, 0.7, -0.3, -0.5, -1.1, -0.4, -0.4, -1.0  
2017-11-02, -1.1, 0.1, -1.9, 1.0, 1.0, -1.0, -1.2, -1.8, -1.4, -1.3, -1.8  
2017-11-03, 0.2, 0.5, -0.3, -0.9, -0.5, -0.4, -0.6, -1.1, -1.0, -0.7, -1.1  
2017-11-06, -0.3, 0.3, -0.9, -0.3, -0.3, 0.0, -0.2, -0.6, -0.7, -0.3, -0.7  
2017-11-07, 1.5, 1.8, -0.5, -1.5, -1.5, 1.4, 1.2, 1.0, 0.6, 1.1, 0.9  
2017-11-08, 0.1, 0.3, -1.1, -0.5, -0.5, 1.6, 1.6, 1.5, 1.0, 1.5, 1.5  
2017-11-09, -1.0, 0.5, -1.4, 0.1, 0.1, 0.9, 1.3, 1.3, 0.9, 1.2, 1.3  
2017-11-10, 0.4, 0.8, -0.2, -0.2, -0.2, 0.6, 1.4, 1.5, 1.2, 1.3, 1.6  
2017-11-13, -0.4, 0.2, -0.7, -0.4, -0.4, 0.5, 1.5, 1.7, 1.6, 1.5, 1.9  

2017-10-31: go read: $chd $pg $v $csco $intc $ge $ul $bac $c $jpm $ms $gs $aapl $googl $msft #nflx $amzn $fb $v $f $gm $uaa $spy |must read!¨ugoogle, citi and goldman sachs invest in blockchain $googl $c $gs  10/  
2017-11-01: $c is in ichimoku golden cross winning 60.00% in the past. |don't miss our next free option trade.  sign up for our daily free trades at  $nvda $tsla $gs $c $wfc $googl $fb|rt AT_USER sharks showed a  
2017-11-02: $c $bac anz bank's china chief sees little chance of credit crisis via |don't miss our next free option trade.  sign up for our daily free trades at  $nvda $tsla $gs $c $wfc $googl $fb|don't miss our"
9848b932-bf14-47ed-892d-839fbb4c9b29,"จากข้อมูลและทวีตที่ให้มา คุณจะคาดการณ์ได้หรือไม่ว่าราคาปิดของหุ้น $amzn ในวันที่ 2017-11-22 จะ Rise หรือ Fall โปรดระบุว่า Rise หรือ Fall  
บริบท: วันที่, เปิด, สูง, ต่ำ, ปิด, ปิดปรับ, เพิ่ม 5%, เพิ่ม 10%, เพิ่ม 15%, เพิ่ม 20%, เพิ่ม 25%, เพิ่ม 30  
2017-11-08, -0.9, 0.2, -1.2, 0.9, 0.9, -1.4, -3.1, -6.7, -7.9, -8.8, -9.9  
2017-11-09, -0.3, 0.0, -1.2, -0.3, -0.3, -0.5, -1.4, -5.5, -7.0, -8.0, -9.1  
2017-11-10, 0.1, 0.6, -0.1, -0.3, -0.3, 0.1, -0.9, -4.4, -6.1, -7.2, -8.3  
2017-11-13, -0.5, 1.0, -0.6, 0.3, 0.3, -0.1, -1.0, -3.7, -5.9, -7.0, -8.1  
2017-11-14, -0.6, 0.1, -1.1, 0.7, 0.7, -0.5, -1.4, -3.4, -6.0, -7.1, -8.2  
2017-11-15, 0.0, 0.4, -0.4, -0.9, -0.9, 0.2, -0.3, -1.6, -4.6, -5.8, -6.9  
2017-11-16, -0.6, 0.1, -0.6, 0.9, 0.9, -0.5, -0.9, -1.6, -4.8, -6.2, -7.3  
2017-11-17, 0.7, 0.8, -0.4, -0.7, -0.7, 0.2, -0.1, -0.8, -3.5, -5.2, -6.3  
2017-11-20, 0.3, 0.6, -0.3, -0.3, -0.3, 0.5, 0.3, -0.4, -2.5, -4.4, -5.6  
2017-11-21, -0.6, 0.0, -1.0, 1.2, 1.2, -0.7, -0.7, -1.3, -2.9, -5.1, -6.2  

2017-11-08: rt AT_USER นี่คือเหตุผลที่ $amzn ยังคงถูก  |$amzn $ge bloomberg baystate business: ภาษี, ge และฮาร์ดแวร์ via |$djia $spx $qqq $baba $msft $amzn $aapl $goog $fb $nflx $btc.x $usdcad $eurusd $usdjpy  
2017-11-09: $bby กำลังโรลลิ่งด้วยการลดราคาช่วง black friday   $amzn|$amzn วันศุกร์มักเงียบ แต่สองสามครั้งที่ผ่านมาใหญ่มากสำหรับชื่อนี้ ผมคิดว่าพรุ่งนี้เราจะกลับไปสู่ภาวะปกติ |ราคาคืนสู่ค่าปกติ vs คาดการณ์รายวัน  
2017-11-10:  inc. $amzn ถูกลดระดับเป็น ""hold"" ที่ zacks investment research |rt AT_USER รีวิวเทค ... 2) ธนาคารถัดไปของคุณ: #amazon $amzn #apple $aapl #facebook $fb หรือ #google $"
